y,x1,x2
0.188440659,0.123233027,1.4433091
-1.048472876,0.253610572,-0.233159924
-4.194088651,2.375914791,1.785955113
-1.849917103,1.237581964,1.550623595
-1.42249996,1.108627472,1.254491892
-1.371403545,2.202721276,0.402320232
-2.148574591,0.540927606,1.960595236
-2.881549071,1.640346014,2.584521675
-2.989782043,1.416787459,1.899971653
-0.882960316,1.776543115,-0.030845945
3.253921973,2.9837947,-1.113285069
-3.028280166,1.05131061,2.138363317
0.033706272,0.531319776,0.434735633
0.930857976,-0.027822637,-1.059001969
-2.440415869,-0.285703816,0.648467792
-1.376139682,0.621100823,0.717296581
-3.593862608,2.835349047,3.529757831
-0.264869702,0.961887211,1.589345044
-1.056319052,1.207267222,0.547390713
-3.268484401,2.553498727,2.232750223
-1.601752396,2.200977973,0.897376565
-3.152259599,1.777537899,2.034659729
0.232295735,0.248294535,0.517980285
-2.437876539,1.239315549,1.455339326
-4.989803526,0.217600466,2.281751121
-2.75660477,0.06403968,1.218683719
-1.870442072,-0.971023615,0.634927267
4.550279455,2.903958525,-0.930121625
-4.13286653,1.133758784,2.007824764
8.039664136,2.298371376,-1.13622446
-3.576369836,0.877337601,0.894526204
-0.039646006,1.594876421,0.525795232
-9.419206464,-1.070100254,2.032900214
-10.31989123,1.514439866,2.877680415
-4.611938696,-0.744695167,0.90683314
3.943245986,1.96499411,-0.395173361
-1.324354052,1.570103565,0.460974324
-16.14178923,0.793181402,2.944748846
-3.48363296,0.108203794,0.706105585
-4.965893987,1.673109251,1.15528305
6.969818808,1.053596268,-0.757999561
-0.948471921,-0.488172849,0.262041341
-15.65196358,1.039913781,2.725926183
-7.870886256,0.808585767,1.838569244
-5.759601498,0.702760594,1.52503053
-4.26750553,-1.345152543,0.806242118
1.239181352,1.019936918,0.431105265
0.05439399,2.099917215,0.53467699
-4.994371677,0.566514471,0.970544575
-8.661721332,1.949303154,1.9983874
5.076387821,-0.249856218,-0.534778617
3.428398056,0.064969099,-0.230039406
3.593838526,2.008909896,-0.057520481
3.210258533,0.533441792,-0.202836557
-0.292386461,0.989919501,0.557108862
-14.24540211,1.022793155,2.589533023
-7.499655967,1.181630499,1.69688646
0.091252536,-0.123881126,0.30140623
-3.097492967,1.902774195,0.945767274
7.134846705,0.264859725,-0.573821777
-19.59483452,1.262065907,2.993778412
-11.48704357,-0.297500761,1.542812669
2.847277631,0.15706376,-0.136475392
-0.494838902,1.540229684,0.478698286
-9.024276051,-0.35122935,1.198542003
-13.33630067,1.100366931,2.194248396
4.874716363,0.287440866,-0.275294459
-3.54700266,2.690399461,1.003165253
-2.989232944,1.084514485,0.7371639
-5.856606665,0.445176416,0.90709738
-28.67004777,0.766391049,2.892447295
2.827493391,1.458746041,0.1456907
-7.223999209,0.12774341,0.959262674
-10.12713141,0.836535185,1.249593795
19.86942187,-0.462403487,-1.725815204
19.06394432,0.382347615,-1.513209286
-15.7732696,-0.630873396,1.353780971
-19.84924654,0.548919951,1.831626763
1.029909953,2.535072097,0.33243003
20.63345861,-0.14560188,-1.720686949
-10.31586004,0.515146322,0.926145526
-0.785082521,2.268141226,0.437209054
-3.374577439,1.205615197,0.360645667
-10.57805833,0.949795595,1.170665424
-28.63220969,0.284821743,2.764146996
-17.37397742,2.444179709,1.929683427
-24.40992751,0.365706841,2.433654311
-29.47527738,0.73073232,3.00352021
-16.86830751,-0.329199244,1.509972058
-4.201053599,-0.082502229,0.37389294
-3.467709811,1.244604552,0.643750915
-9.935094935,1.264924979,1.325137207
-26.41251236,-2.036889566,2.392916214
-4.086929338,2.192520582,0.748562442
15.81035375,0.880014278,-1.457924318
-8.933334223,2.461567041,1.32217132
-11.88665084,1.632533262,1.486367877
-11.0448507,0.23224471,1.08695266
-6.483530622,0.773642043,0.599279074
-25.38512994,1.077752392,2.546008946
-7.11411409,0.115049411,0.474751694
-19.16996218,-0.541857313,1.539773497
-15.16518143,1.872079902,1.637053923
-2.441649295,1.508934575,0.462632286
-8.817607499,2.431110337,1.272133356
-24.79560088,0.905794207,2.582383597
-10.04870438,0.984427389,1.118290747
-18.86348887,-0.721339173,1.650096689
-12.19903242,2.348087896,1.747633553
-2.388048864,0.720646287,0.260271613
-2.212622324,0.701565911,0.317256161
-8.334060155,-0.468146641,0.498778325
-26.2845803,-0.799159819,2.100964587
