"","x"
"1",0.746073537711774
"2",0.63790626206432
"3",0.594224338436172
"4",0.474458482241782
"5",0.406457677672957
"6",0.426224314078871
"7",0.326922706834469
"8",0.185086458823429
"9",0.22279747019693
"10",0.343050749689547
"11",0.187026685870307
"12",0.129536119258568
"13",0.362347376434729
"14",0.424740032339841
"15",0.408522325667117
"16",0.192340968244991
"17",0.308165498714658
"18",0.521095904756242
"19",0.450335363248665
"20",0.484164256600031
"21",0.61229508506621
"22",0.891833917357254
"23",0.974935602533537
"24",0.889668729556466
"25",1.01918505671211
"26",1.00705708732641
"27",0.969821783904681
"28",0.959232093225803
"29",0.757237820399228
"30",0.629367087618532
"31",0.699932055809509
"32",0.643299926926679
"33",0.70401731345454
"34",0.796381426054496
"35",0.669381635643082
"36",0.616084123316401
"37",0.62790761634479
"38",0.631024434973477
"39",0.662465521103166
"40",0.699734811194067
"41",0.599329069925571
"42",0.594414842739796
"43",0.609961613987559
"44",0.505396767602728
"45",0.193801672567843
"46",0.405687502768642
"47",0.674988030991601
"48",0.659816841532133
"49",0.505386445081501
"50",0.453102331313854
"51",0.432959057190574
"52",0.514408637373451
"53",0.587787221281484
"54",0.479354951336587
"55",0.621104178261795
"56",0.621865224001636
"57",0.663379339660906
"58",0.962944017210148
"59",1.06887912572317
"60",1.12531955288127
"61",1.04507846476712
"62",1.0505064952548
"63",1.04891778877397
"64",0.840059882340884
"65",0.808259374037615
"66",0.760797362742612
"67",0.697672422286145
"68",0.806941265545084
"69",0.741988208983589
"70",0.84617650426584
"71",0.805385550865494
"72",0.631164661644446
"73",0.680964850297902
"74",0.757170304530678
"75",0.689355931958608
"76",0.562811406728207
"77",0.624390076072899
"78",0.772609684912067
"79",0.853827559272256
"80",0.990110393809364
"81",1.10051636427285
"82",1.16353107534532
"83",1.05529772807595
"84",0.929657196997227
"85",1.0110268500165
"86",0.956813579910441
"87",0.867975674188905
"88",0.937245953674771
"89",0.950388913882361
"90",0.833527714614532
"91",0.804645204590101
"92",0.839225482648023
"93",0.691170767156636
"94",0.755932284152041
"95",0.73756989884779
"96",0.63598773776288
"97",0.597660549441367
"98",0.751591763268389
"99",0.75296343908726
"100",0.979826762059556
"101",0.985562650061962
"102",1.00191937160418
"103",1.12779417591255
"104",1.18723696872783
"105",0.97303880985043
"106",0.836001380340348
"107",0.81065807928114
"108",0.59298245026835
"109",0.463665934739014
"110",0.356912101959541
"111",0.511183255131542
"112",0.63229072602821
"113",0.770306494617542
"114",0.559502727297322
"115",0.493039728441434
"116",0.564384348485711
"117",0.619686736675553
"118",0.631779293891605
"119",0.635007247122116
"120",0.716813478401923
"121",0.744653365217669
"122",0.625458378786789
"123",0.696804580544777
"124",0.702213944132302
"125",0.69977438860508
"126",0.777224136389911
"127",0.800747905502824
"128",0.778588183199966
"129",0.850477020159443
"130",1.11035890738178
"131",1.16471831333174
"132",1.13183746273152
"133",1.08357020600459
"134",1.17196616297575
"135",1.32886187724536
"136",1.32050292995732
"137",1.1593068354987
"138",0.977775661242385
"139",0.936811582735198
"140",0.881002891653914
"141",1.00858760095826
"142",0.856256762650644
"143",0.816884773064379
"144",0.78480032028082
"145",0.571868063554463
"146",0.57303069089842
"147",0.629628657072939
"148",0.685576778372585
"149",0.824860711403298
"150",0.829299518092315
"151",0.858827632071746
"152",0.951070258270683
"153",0.909894355548644
"154",0.695884581407839
"155",0.616914290347419
"156",0.43179816504028
"157",0.442068385599402
"158",0.378526648876622
"159",0.43754346879877
"160",0.600102355191897
"161",0.841579714845948
"162",0.835107318788908
"163",0.825097344142233
"164",0.932128668063481
"165",0.976185480020914
"166",0.800836835470953
"167",0.636840266130975
"168",0.749873664334479
"169",0.751121186389051
"170",0.626003373679804
"171",0.594937014887185
"172",0.676344097521914
"173",0.481755915843312
"174",0.392333841333481
"175",0.611189321808501
"176",0.579368507835278
"177",0.587439192213496
"178",0.657798058277578
"179",0.512930838236783
"180",0.581367489011124
"181",0.58737628937485
"182",0.820733210510163
"183",0.702760277591018
"184",0.672495183550847
"185",0.622074918079722
"186",0.639952229700178
"187",0.780912399550701
"188",1.03085837763771
"189",1.06876683460011
"190",1.00395469336628
"191",0.987181170754103
"192",0.813393555069669
"193",0.770844076847031
"194",0.803841923413869
"195",0.749014384618145
"196",0.824965797896013
"197",0.712539073212391
"198",0.581323294606076
"199",0.728324149535822
"200",0.889155533506389
"201",1.05961242498443
"202",0.944514553638142
"203",0.846783193005444
"204",0.885604510792741
"205",0.878683592479207
"206",0.907933350934604
"207",0.792430508293086
"208",0.761831051003938
"209",0.719678304009032
"210",0.645250545895068
"211",0.715846841471927
"212",0.711233821591586
"213",0.685958894185721
"214",0.516051692520726
"215",0.35957216292934
"216",0.291848464666789
"217",0.590237930485267
"218",0.854775904467621
"219",1.04348842443518
"220",1.00487034660475
"221",1.00134920147551
"222",1.00306621140036
"223",0.947190367618551
"224",1.11656751302907
"225",1.20804052734018
"226",1.07461612572471
"227",1.04255268662888
"228",1.06652148262154
"229",0.951709202032388
"230",0.966528612809345
"231",0.885203075830954
"232",0.73517605636483
"233",0.751690861679372
"234",0.724335496081952
"235",0.847647618183205
"236",0.820918250103728
"237",0.815122558438318
"238",0.789070227026175
"239",0.69798596628449
"240",0.499093523731308
"241",0.546846404681502
"242",0.650635145754475
"243",0.697101495603889
"244",0.812428387648638
"245",0.721208985872686
"246",0.695282531544366
"247",0.689869127915595
"248",0.700968273129486
"249",0.998364675793133
"250",1.26208417554791
"251",1.30500115447728
"252",1.36614296869513
"253",1.42746951597167
"254",1.3660676155401
"255",1.27096947936698
"256",1.11147853156164
"257",0.999053370161482
"258",1.02533906738389
"259",0.843466873502762
"260",0.946921823744331
"261",1.03566999478228
"262",1.05336408485725
"263",0.944952720625895
"264",1.1162328446183
"265",1.20264404823258
"266",1.24313540434406
"267",1.26210861302041
"268",1.20986466193217
"269",1.15183912169107
"270",0.981850681986301
"271",1.06084835517594
"272",1.20605044992647
"273",1.38626559296092
"274",1.2811584394456
