y,x1,x2,x3
2.265451195,-0.201413578,-0.983001495,0.009182079
-0.461536419,-0.097111542,0.125742496,-0.901556526
-2.349179243,1.600731833,2.13138686,0.288709449
1.052945484,0.690065571,1.366760507,1.128732926
1.559738872,0.586901978,0.781651165,0.873254877
0.511746355,1.462177021,1.277951881,0.165034193
5.508464412,0.132742085,-0.748871254,0.831238862
0.871228578,1.012276811,1.310490557,1.28034974
1.21644096,0.833429967,0.210935787,1.168550833
5.054739954,1.121234492,-1.4733938,1.151245665
7.709663084,2.08703576,0.133673872,2.232005411
1.337954687,0.541048488,0.585381747,1.119474122
0.517838603,0.125055821,0.718935013,0.37060562
-1.435267419,-0.32225811,-0.068704329,-0.683691824
-0.9665101,-0.528563053,0.048549417,0.343316944
-0.631365029,0.196880658,0.404976748,0.299012574
0.965609494,1.968279237,1.809496903,0.596166291
0.507243899,0.469509769,-0.377317844,0.585260315
1.993241296,0.665813778,0.124659249,0.700133076
1.193232165,1.742798982,0.930767493,-0.390834572
0.890280867,1.460782378,0.410239201,0.007069166
0.6506055,1.122030319,0.076130266,0.382247927
0.070135662,-0.101364372,-1.640066324,0.288259432
0.430167705,0.691452439,0.114197062,0.978411535
1.458411327,-0.125919627,0.514030981,0.471382945
-0.261270215,-0.248768256,0.653096668,0.722047549
1.006322118,-1.076818892,0.168752252,0.986155424
-0.063398801,2.02316682,0.343891892,0.145983849
0.227792228,0.607007027,1.122201885,1.562077691
4.711458724,1.538697101,-1.448163163,1.307308765
-0.610804445,0.401870081,0.205629581,0.377644578
0.425818482,0.975901137,1.052788467,0.894429955
-1.538625124,-1.156080203,0.191719754,-0.471561776
0.847348214,0.911551893,0.801518043,0.292770256
0.977847938,-0.895756133,-0.430702052,1.09946133
0.712037506,1.271995288,1.058423321,0.004087786
2.115791052,0.956082852,1.043484859,1.212646612
1.626228893,0.334545122,0.781344694,1.23762558
-0.643404357,-0.213436965,1.552597836,-0.633929562
-0.894584906,1.038487401,1.852354417,0.007935631
0.577330638,0.542877014,0.303094583,0.70811759
-0.300514097,-0.690538279,0.053756774,0.833414395
1.438602164,0.531931025,0.492714187,0.720740671
1.026539004,0.346868613,0.037944346,1.597972967
3.687649525,0.262208475,-0.357307247,1.812122403
-2.895474527,-1.376122035,-0.032246205,-1.039829428
-0.394647602,0.515949535,0.529481394,-0.384719724
3.362717833,1.379933772,-0.188517324,1.209751627
2.400860135,0.153211576,-0.543153144,-0.09503446
1.986930167,1.259442523,0.938607272,1.446688641
-2.907430175,-0.499884975,1.484530457,-0.271602933
-0.366916137,-0.248024721,0.887453537,0.522319025
1.138584674,1.307127917,0.237645977,0.085300919
1.372170783,0.126753434,-0.704862553,-0.173435493
2.282446416,0.491935601,0.300698632,0.660919077
0.871134725,0.518234524,1.498630491,1.900055233
3.273359757,0.645304399,0.398085312,1.403068785
-0.576141038,-0.399104901,1.180948611,-0.163466513
0.549312439,1.222219356,1.019951157,-0.664584158
1.205382073,-0.08811222,0.694803873,0.707653154
1.787653196,0.709652726,-0.740439244,0.379594603
-0.213181606,-0.538000609,-0.122751072,-0.02711257
-0.081404603,-0.174348992,1.681318974,0.928166485
3.328011546,0.932183747,0.12727092,1.856124272
1.671409074,-0.58098348,-0.43859898,0.500082479
0.794232276,0.580293545,-0.204187029,-0.538457432
0.384784098,-0.070047307,0.191978351,1.196902404
2.79883971,1.852319569,1.198989589,0.231619967
1.764510245,0.567611588,0.87095276,0.630472305
0.565714148,0.056141133,0.106306526,0.94285818
-0.876210999,0.313112839,1.859750851,0.149219269
-1.957815936,0.866996833,2.214388861,-0.308746964
2.287435445,-0.197805272,1.158464401,1.139886922
4.174450269,0.369228148,-1.044919878,1.028419713
-0.176833451,-0.66992279,0.347150718,0.172519192
0.986897624,0.005878092,0.611393606,1.321810211
1.790510271,-0.804698717,-0.21530066,-0.069129246
2.289108481,0.139135961,-1.174736224,1.810863142
